NSE/EXCELINFO,Excel Infoways Limited
NSE/KOTAKNV20,KOTAKMAMC - KTKNV20ETF
NSE/PAGEIND,Page Industries Limited
NSE/VBL,Varun Beverages Limited
NSE/SHREEASHTA,Shree Ashtavinayak Cine Vision Limited
NSE/BLUECHIP,Blue Chip India Limited
NSE/HIGHGROUND,High Ground Enterprise Limited
NSE/JUSTDIAL,Just Dial Limited
NSE/PVR,PVR Limited
NSE/SUNFLAG,Sunflag Iron And Steel Company Limited
NSE/ZUARIGLOB,ZUARI GLOBAL LIMITED
NSE/EBANK,Edelweiss ETF - Nifty Bank
NSE/JUMBO,Jumbo Bag Limited
NSE/BSLNIFTY,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth
NSE/KTKBANK,The Karnataka Bank Limited
NSE/SUMMITSEC,Summit Securities Limited
NSE/UFO,UFO Moviez India Limited
NSE/CAMBRIDGE,Cambridge Solutions Limited
NSE/LLOYDFIN,Lloyds Finance Limited
NSE/INDIAINFO,India Infoline Limited
NSE/ALPSINDUS,Alps Industries Limited
NSE/IOB,Indian Overseas Bank
NSE/SHAKTIPUMP,Shakti Pumps (India) Limited
NSE/SALONACOT,Salona Cotspin Limited
NSE/HINDSYNTEX,Hind Syntex Limited
NSE/NIFTY_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty Bank
NSE/NIFTY_SHARIAH_25,National Stock Exchange of India (NSE) Stock Index - Nifty Shariah 25
NSE/NIFTY50_VALUE_20,National Stock Exchange of India (NSE) Stock Index - Nifty50 Value 20
NSE/NIFTY_IT,National Stock Exchange of India (NSE) Stock Index - Nifty IT
NSE/NIFTY_METAL,National Stock Exchange of India (NSE) Stock Index - Nifty Metal
NSE/BSL,BSL Limited
NSE/HIRECT,Hind Rectifiers Limited
NSE/JINDALPOLY,Jindal Poly Films Limited
NSE/JMCPROJECT,JMC Projects (India) Limited
NSE/JPOLYINVST,Jindal Poly Investment and Finance Company Limited
NSE/NDGL,Naga Dhunseri Group Limited
NSE/RADICO,Radico Khaitan Limited
NSE/ROLTA,Rolta India Limited
NSE/SHIVTEX,Shiva Texyarn Limited
NSE/SOMANYCERA,Somany Ceramics Limited
NSE/TEXMOPIPES,Texmo Pipes and Products Limited
NSE/VSTTILLERS,V.S.T Tillers Tractors Limited
NSE/HOTELRUGBY,Hotel Rugby Limited
NSE/INDOWIND,Indowind Energy Limited
NSE/KHAITANELE,Khaitan Electricals Limited
NSE/MANDHANA,Mandhana Industries Limited
NSE/RENUKA,Shree Renuka Sugars Limited
NSE/ROHITFERRO,Rohit Ferro-Tech Limited
NSE/SANWARIA,Sanwaria Agro Oils Limited
NSE/VALECHAENG,Valecha Engineering Limited
NSE/ABIRLANUVO,Aditya Birla Nuvo Limited
NSE/CONTROLPR,Control Print Limited
NSE/ASSAMCO,Assam Company India Limited
NSE/KEI,KEI Industries Limited
NSE/ZICOM,Zicom Electronic Security Systems Limited
NSE/MICROTECH,Micro Technologies (India) Limited
NSE/CLASSIC,Classic Diamonds (India) Limited
NSE/SHARRESLTD,Sharyans Resources Limited
NSE/INDUSFILA,Indus Fila Limited
NSE/BASML,Bannari Amman Spinning Mills Limited
NSE/NRAIL,N R Agarwal Industries Limited
NSE/VGUARD,V-Guard Industries Limited
NSE/CNX_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - CNX Commodities
NSE/INVENTURE,Inventure Growth & Securities Limited
NSE/SWELECTES,Swelect Energy Systems Limited
NSE/NIFTY_PSE,National Stock Exchange of India (NSE) Stock Index - Nifty PSE
NSE/CUMMINSIND,Cummins India Limited
NSE/GITANJALI,Gitanjali Gems Limited
NSE/JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
NSE/JISLJALEQS,Jain Irrigation Systems Limited
NSE/MADHAV,Madhav Marbles and Granites Limited
NSE/MAHSCOOTER,Maharashtra Scooters Limited
NSE/SHAHALLOYS,Shah Alloys Limited
NSE/SUPREMETEX,Supreme Tex Mart Limited
NSE/WEIZMANIND,Weizmann Limited
NSE/AYMSYNTEX,AYM Syntex Limited
NSE/JAYBARMARU,Jay Bharat Maruti Limited
NSE/KOPRAN,Kopran Limited
NSE/VICEROY,Viceroy Hotels Limited
NSE/EXCELCROP,Excel Crop Care Limited
NSE/NIFTY_GROWSECT_15,National Stock Exchange of India (NSE) Stock Index - Nifty Growth Sectors 15
NSE/ASHOKA,Ashoka Buildcon Limited
NSE/MAXINDIA,Max India Limited
NSE/WABCOINDIA,WABCO India Limited
NSE/HINDCOPPER,Hindustan Copper Limited
NSE/MINDAIND,Minda Industries Limited
NSE/AVENTIS,Aventis Pharma Limited
NSE/ARROWGREEN,Arrow Greentech Limited
NSE/NH,Narayana Hrudayalaya Ltd.
NSE/PODDARMENT,Poddar Pigments Limited
NSE/UNIENTER,Uniphos Enterprises Limited
NSE/DUNCANSIND,Duncans Industries Limited
NSE/MIRZAINT,Mirza International Limited
NSE/PALREDTEC,Palred Technologies Limited
NSE/URJA,Urja Global Limited
NSE/UTISENSETF,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund
NSE/BSE,BSE Limited
NSE/UBL,United Breweries Limited
NSE/UNITEDTEA,The United Nilgiri Tea Estates Company Limited
NSE/VSSL,Vardhman Special Steels Limited
NSE/PIRHEALTH,Piramal Healthcare Limited
NSE/CINEPRO,Cinemax Properties Limited
NSE/BIMETAL,Bimetal Bearings Limited
NSE/NEOCORP,Neo Corp International Limited
NSE/DIAPOWER,Diamond Power Infra Ltd
NSE/AJMERA,Ajmera Realty & Infra India Limited
NSE/CAMLIN,Camlin Limited
NSE/JIKIND,JIK Industries Limited
NSE/ELFORGE,EL Forge Limited
NSE/NIFTY_REALTY,National Stock Exchange of India (NSE) Stock Index - Nifty Realty
NSE/CNX_PHARMA,National Stock Exchange of India (NSE) Stock Index - CNX Pharma
NSE/CNX_INFRA,National Stock Exchange of India (NSE) Stock Index - CNX Infrastructure
NSE/NIFTY_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - Nifty Commodities
NSE/NIFTY_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - Nifty India Consumption
NSE/NIFTY_50,National Stock Exchange of India (NSE) Stock Index - Nifty 50
NSE/CNX_NIFTY,National Stock Exchange of India (NSE) Stock Index - CNX Nifty
NSE/CNX_500,National Stock Exchange of India (NSE) Stock Index - CNX 500
NSE/CNX_HIGH_BETA,National Stock Exchange of India (NSE) Stock Index - CNX High Beta
NSE/CNX_FINANCE,National Stock Exchange of India (NSE) Stock Index - CNX Finance
NSE/CNX_ENERGY,National Stock Exchange of India (NSE) Stock Index - CNX Energy
NSE/NIFTY_MNC,National Stock Exchange of India (NSE) Stock Index - Nifty MNC
NSE/NIFTY_200,National Stock Exchange of India (NSE) Stock Index - Nifty 200
NSE/CNX_SERVICE,National Stock Exchange of India (NSE) Stock Index - CNX Service Sector
NSE/CNX_FMCG,National Stock Exchange of India (NSE) Stock Index - CNX FMCG
NSE/CNX_REALTY,National Stock Exchange of India (NSE) Stock Index - CNX Realty
NSE/CNX_METAL,National Stock Exchange of India (NSE) Stock Index - CNX Metal
NSE/NIFTY_ENERGY,National Stock Exchange of India (NSE) Stock Index - Nifty Energy
NSE/NIFTY_PHARMA,National Stock Exchange of India (NSE) Stock Index - Nifty Pharma
NSE/CNX_MNC,National Stock Exchange of India (NSE) Stock Index - CNX MNC
NSE/CPSE_INDEX,National Stock Exchange of India (NSE) Stock Index - CPSE
NSE/NIFTY_SERV_SECTOR,National Stock Exchange of India (NSE) Stock Index - Nifty Services Sector
NSE/NIFTY500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - Nifty500 Shariah
NSE/CNX_ALPHA_INDEX,National Stock Exchange of India (NSE) Stock Index - CNX Alpha
NSE/NIFTY100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - Nifty 100 Equal Weight
NSE/CNX_DIVIDEND_OPPT,National Stock Exchange of India (NSE) Stock Index - CNX Dividend Opportunities
NSE/NV20,National Stock Exchange of India (NSE) Stock Index - NV 20
NSE/NIFTY_ALPHA_50,National Stock Exchange of India (NSE) Stock Index - Nifty Alpha 50
NSE/CNX_LOW_VOLATILITY,National Stock Exchange of India (NSE) Stock Index - CNX Low Volatility
NSE/SRHHLINDST,SRHHL Industries Limited
NSE/PROZONECSC,Prozone Capital Shopping Centres Limited
NSE/ELNET,Elnet Technologies Limited
NSE/DHANUS,Dhanus Technologies Limited
NSE/AXIS_ITT,Axis-IT&T Limited
NSE/CNXMEDIA,National Stock Exchange of India Stock Index - CNX MEDIA
NSE/HITACHIHOM,Hitachi Home and Life Solutions (India) Limited
NSE/AIL,Alstom India Limited
NSE/DCMSHRIRAM,DCM Shriram Limited
NSE/GMBREW,GM Breweries Limited
NSE/PRECOT,Precot Meridian Limited
NSE/SHALPAINTS,Shalimar Paints Limited
NSE/AXISGOLD,Axis Mutual Fund - Axis Gold ETF
NSE/PILANIINVS,Pilani Investment and Industries Corporation Limited
NSE/KOUTONS,Koutons Retail India Limited
NSE/PRETAILDVR,Pantaloon Retail (India) Limited
NSE/WYETH,Wyeth Limited
NSE/TCPLTD,TCP Limited
NSE/KARURKCP,Karur K.C.P. Packkagings Limited
NSE/DECOLIGHT,Decolight Ceramics Limited
NSE/ESSARPORTS,Essar Ports Limited
NSE/AMARJOTHI,Amarjothi Spinning Mills Limited
NSE/PANCARBON,Panasonic Carbon India Company Limited
NSE/HALONIX,Halonix Limited
NSE/AFTEK,Aftek Limited
NSE/BRANDHOUSE,Brandhouse Retails Limited
NSE/SHLAKSHMI,Shri Lakshmi Cotsyn Limited
NSE/SETFNIFJR,SBIAMC - SETFNIFJR
NSE/SETFNIFTY,SBIAMC - SETFNIFTY
NSE/SIMBHSUGAR,Simbhaoli Sugars Limited
NSE/THEBYKE,The Byke Hospitality Limited
NSE/NANDANEXIM,Nandan Exim Limited
NSE/SRICHAMUND,Sri Chamundeswari Sugars Limited
NSE/IBSEC,Indiabulls Securities Limited
NSE/XLENERGY,XL Energy Limited
NSE/DPTL,Dhunseri Petrochem & Tea Limited
NSE/BIRLAERIC,Birla Ericsson Optical Limited
NSE/SPECTACLE,Spectacle Ventures Limited
NSE/MMWL,Media Matrix Worldwide Limited
NSE/GULFCORP,Gulf Oil Corporation Limited
NSE/ALFALAVAL,Alfa Laval (India) Limited
NSE/APIL,Alstom Projects India Limited
NSE/MANJEERA,Manjeera Constructions Limited
NSE/VIPUL,Vipul Limited
NSE/BECREL,Best & Crompton Engg. Limited
NSE/CNXSMALLCAP,National Stock Exchange of India Stock Index - CNX SMALLCAP
NSE/PALREDTECH,Palred Technologies Limited
NSE/SIGNETIND,Signet Industries Limited
NSE/CNXMETAL,National Stock Exchange of India Stock Index - CNX METAL
NSE/SAMBANDAM,Sambandam Spinning Mills Limited
NSE/SAVERA,Savera Industries Limited
NSE/PILANIINV,Pilani Investment and Industries Corporation Limited
NSE/IPRINGLTD,IP Rings Limited
NSE/RAJPALAYAM,Rajapalayam Mills Limited
NSE/DALMIAREF,Dalmia Refractories Limited
NSE/MUDRA,Mudra Lifestyle Limited
NSE/ALPINEHOU,Alpine Housing Development Corporation Limited
NSE/NGCT,Northgate Com Tech Limited
NSE/ARVINDREM,Arvind Remedies Limited
NSE/GUJSTATFIN,Gujarat State Financial Corporation
NSE/INGVYSYABK,ING Vysya Bank Limited
NSE/IIFLNIFTY,IIFL Mutual Fund - Nifty ETF
NSE/SKUMARSYNF,S. Kumars Nationwide Limited
NSE/PRITHVI,Prithvi Information Solutions Limited
NSE/SHIV_VANI,Shiv-Vani Oil & Gas Exploration Services Limited
NSE/RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund
NSE/TECPRO,Tecpro Systems Limited
NSE/RANBAXY,Ranbaxy Laboratories Limited
NSE/MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF
NSE/VAKRANSOFT,Vakrangee Softwares Limited
NSE/SPANCO,Spanco Limited
NSE/SPCNXNIFTYSHARIAH,National Stock Exchange of India Stock Index - S&P CNX NIFTY SHARIAH
NSE/MBSWITCH,M AND B Switchgears Limited
NSE/CNXREALTY,National Stock Exchange of India Stock Index - CNX REALTY
NSE/NEHAINT,Neha International Limited
NSE/VAIBHAVGEM,Vaibhav Gems Limited
NSE/THINKSOFT,Thinksoft Global Services Limited
NSE/SPCNX500,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/NIFTYMIDCAP50,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/MMFSL,Money Matters Financial Services Limited
NSE/BOC,BOC India Limited
NSE/INFOTECENT,Infotech Enterprises Limited
NSE/INDIABULLS,Indiabulls Financial Services Limited
NSE/FKONCO,Fresenius Kabi Oncology Limited
NSE/ASHCONIUL,Ashco Niulab Industries Limited
NSE/COROENGG,Coromandel Engineering Company Limited
NSE/LAKSHMIMIL,The Lakshmi Mills Company Limited
NSE/SPCNX,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/CNXPSUBANK,National Stock Exchange of India Stock Index - CNX PSU BANK
NSE/NATHSEED,Nath Seeds  Limited
NSE/CNXMIDCAP,National Stock Exchange of India Stock Index - CNX MIDCAP
NSE/BODHTREE,Bodhtree Consulting Limited
NSE/EDSERV,Edserv Softsystems Limited
NSE/ANKURDRUGS,Ankur Drugs And Pharma Limited
NSE/AANJANEYA,Aanjaneya Lifecare Limited
NSE/BHAGWATIHO,Bhagwati Banquets and Hotels Limited
NSE/CNXAUTO,National Stock Exchange of India Stock Index - CNX AUTO
NSE/AMLSTEEL,AML Steel Limited
NSE/RAINCOM,Rain Commodities  Limited
NSE/PONDYOXIDE,Pondy Oxides & Chemicals Limited
NSE/KSE,KSE Limited
NSE/KINETICMOT,Kinetic Motor Company Limited
NSE/FIRSTLEASE,First Leasing Company of India Limited
NSE/KLGSYSTEL,KLG Systel Limited
NSE/SESAGOA,Sesa Goa Limited
NSE/BIRLAPOWER,Birla Power Solutions Limited
NSE/JSWISPAT,JSW ISPAT Steel Limited
NSE/NOVOPANIND,Novopan Industries Limited
NSE/SUJANATOW,Sujana Tower Limited
NSE/TELEDATAIT,Teledata Technology Solutions Limited
NSE/CREWBOS,Crew B.O.S. Products Limited
NSE/MADRASCEM,Madras Cements Limited
NSE/CNXDIVIDENDOPPT,National Stock Exchange of India Stock Index - CNX DIVIDEND OPPT
NSE/CNXPSE,National Stock Exchange of India Stock Index - CNX PSE
NSE/NIFTYDIVIDEND,National Stock Exchange of India Stock Index - NIFTY DIVIDEND
NSE/CNX100,National Stock Exchange of India Stock Index - CNX 100
NSE/DCHL,Deccan Chronicle Holdings Limited
NSE/SARTHAKIND,Sarthak Industries Limited
NSE/OSWALMIN,Oswal Minerals Limited
NSE/TANFACIND,Tanfac Industries Limited
NSE/APPAPER,The Andhra Pradesh Paper Mills Limited
NSE/PANTALOONR,Pantaloon Retail (India) Limited
NSE/CNXCONSUMPTION,National Stock Exchange of India Stock Index - CNX CONSUMPTION
NSE/JDORGOCHEM,JD Orgochem Limited
NSE/CNXPHARMA,National Stock Exchange of India Stock Index - CNX PHARMA
NSE/CNXINFRA,National Stock Exchange of India Stock Index - CNX INFRA
NSE/SMOBILITY,S Mobility Limited
NSE/CNXFMCG,National Stock Exchange of India Stock Index - CNX FMCG
NSE/TAKSHEEL,Taksheel Solutions Limited
NSE/CHETTINAD,Chettinad Cement Corporation Limited
NSE/GRABALALK,Grabal Alok Impex Limited
NSE/SHRINATRAJ,Shri Nataraj Ceramic and Chemical Industries Limited
NSE/TULIP,Tulip Telecom Limited
NSE/SPCNXDEFTY,National Stock Exchange of India Stock Index - S&P CNX DEFTY
NSE/RANKLIN,Ranklin Solutions Limited
NSE/NRC,NRC Limited
NSE/A2ZMES,A2Z Maintenance & Engineering Services Limited
NSE/APLAB,Aplab Limited
NSE/HYDROSS,Hydro S & S Industries Limited
NSE/CNX200,National Stock Exchange of India Stock Index - CNX 200
NSE/UTISUNDER,Nifty
NSE/SPCNX500SHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/AVANTI,Avanti Feeds Limited
NSE/CNXHIGHBETA,National Stock Exchange of India Stock Index - CNX HIGH BETA
NSE/CASTROL,Castrol India Limited
NSE/VTMLTD,VTM Limited
NSE/MAHINDUGIN,Mahindra Ugine Steel Company Limited
NSE/CNXALPHAINDEX,National Stock Exchange of India Stock Index - CNX ALPHA INDEX
NSE/POLARIND,Polar Industries Limited
NSE/JEYPORE,The Jeypore Sugar Company Limited
NSE/INFODRIVE,Info-Drive Software Limited
NSE/CNXLOWVOLATILITY,National Stock Exchange of India Stock Index - CNX LOW VOLATILITY
NSE/RBN,Reliance Broadcast Network Limited
NSE/NUCENT,Nucent Finance Limited
NSE/PRITHVISOF,Prithvi Softech Limited
NSE/PEACOCKIND,Peacock Industries Limited
NSE/JINDALSWHL,Jindal South West Holdings Limited
NSE/CNXMIDCAP200,National Stock Exchange of India Stock Index - CNX MIDCAP 200
NSE/CNXSERVICE,National Stock Exchange of India Stock Index - CNX SERVICE
NSE/LLOYDSTEEL,Lloyds Steel Industries Limited
NSE/LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited
NSE/CRESTANI,Crest Animation Studios Limited
NSE/CNXNIFTYJUNIOR,National Stock Exchange of India Stock Index - CNX NIFTY JUNIOR
NSE/IBIPL,Indiabulls Infrastructure and Power Limited
NSE/IBPOW,Indiabulls Power Limited
NSE/AQUA,Aqua Logistics Limited
NSE/CNXCOMMODITIES,National Stock Exchange of India Stock Index - CNX COMMODITIES
NSE/CNXMNC,National Stock Exchange of India Stock Index - CNX MNC
NSE/TTKHEALTH,TTK Healthcare Limited
NSE/SURANAVEL,Surana Ventures Limited
NSE/GUJSIDHCEM,Gujarat Sidhee Cements Limited
NSE/SUPER,Super Sales India Limited
NSE/SPCNXSHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/CNXIT,National Stock Exchange of India Stock Index - CNX IT
NSE/SPESGINDIAINDEX,National Stock Exchange of India Stock Index - S&P ESG INDIA INDEX
NSE/CNX,National Stock Exchange of India Stock Index - CNX 200
NSE/CNXBANK,National Stock Exchange of India Stock Index - CNX BANK
NSE/SOUISPAT,Southern Ispat And Energy Limited
NSE/KANDAGIRI,Kandagiri Spinning Mills Limited
NSE/PANASONIC,Panasonic Appliances India Company Limited
NSE/MARG,Marg Limited
NSE/TWILITAKA,Twilight Litaka Pharma Limited
NSE/LOGIXMICRO,Logix Microsystems Limited
NSE/KBIL,Kirloskar Brothers Investments Limited
NSE/COMPUAGE,Compuage Infocom Limited
NSE/SABERORGAN,Sabero Organics Gujarat Limited
NSE/KEMROCK,Kemrock Industries and Exports Limited
NSE/WINSOMEDJ,Winsome Diamonds and Jewellery Limited
NSE/DYNATECH,Dynacons Technologies Limited
NSE/FRLDVR,Future Enterprises Limited
NSE/FRL,FUTURE ENTERPRISES LIMITED
NSE/WELENTRP,Welspun Enterprises Limited
NSE/BLS,BLS International Services Limited
NSE/SUDARSCHEM,Sudarshan Chemical Industries Limited
NSE/ANSALAPI,Ansal Properties & Infrastructure Limited
NSE/TIPSINDLTD,TIPS Industries Limited
NSE/DIGJAM,Digjam Limited
NSE/PIPAVAVDOC,Pipavav Defence and Offshore Engineering Company Limited
NSE/STYABS,Styrolution ABS (India) Limited
NSE/KIL,Kamdhenu Ispat Limited
NSE/MANJUSHREE,Manjushree Technopack Limited
NSE/SAHPETRO,Sah Petroleums Limited
NSE/VENUSREM,Venus Remedies Limited
NSE/KRISHNAENG,Krishna Engineering Works Limited
NSE/CHESLINTEX,Cheslind Textiles Limited
NSE/GLODYNE,Glodyne Technoserve Limited
NSE/ADVANTA,Advanta Limited
NSE/UTTAMVALUE,Uttam Value Steels Limited
NSE/PIONDIST,Pioneer Distilleries Limited
NSE/PRAKASHSTL,Prakash Steelage Limited
NSE/SETFGOLD,SBI-ETF Gold
NSE/RELIGAREGO,Religare Invesco Gold Exchange Traded Fund
NSE/ELECTCAST,Electrosteel Castings Limited
NSE/KOTAKBKETF,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option
NSE/LITL,Lanco Infratech Limited
NSE/ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Limited
NSE/VIKASGLOB,Vikas GlobalOne Limited
NSE/GUJRATGAS,Gujarat Gas Company Limited
NSE/MAKE,Marico Kaya Enterprises Limited
NSE/AMTEKINDIA,Amtek India Limited
NSE/BINANIIND,Binani Industries Limited
NSE/HCG,Healthcare Global Enterprises Limited
NSE/IRB,IRB Infrastructure Developers Limited
NSE/JYOTISTRUC,Jyoti Structures Limited
NSE/MIC,MIC Electronics Limited
NSE/OCCL,Oriental Carbon & Chemicals Limited
NSE/PODDARHOUS,Poddar Housing and Development Limited
NSE/SADBHAV,Sadbhav Engineering Limited
NSE/SHRIRAMEPC,Shriram EPC Limited
NSE/TRIGYN,Trigyn Technologies Limited
NSE/BROADCAST,Broadcast Initiatives Limited
NSE/GANGOTRI,Gangotri Textiles Limited
NSE/MOLDTECH,Mold-Tek Technologies Limited
NSE/PEL,Piramal Enterprises Limited
NSE/NIRVIKARA,Nirvikara Paper Mills Limited
NSE/RAMCOCEM,The Ramco Cements Limited
NSE/BFUTILITIE,BF Utilities Limited
NSE/ELAND,E-Land Apparel Limited
NSE/NRBBEARING,NRB Bearing Limited
NSE/PKTEA,The Peria Karamalai Tea & Produce Company Limited
NSE/TEAMLEASE,Teamlease Services Limited
NSE/ZODIACLOTH,Zodiac Clothing Company Limited
NSE/TIMBOR,Timbor Home Limited
NSE/AKSHARCHEM,AksharChem India Limited
NSE/BUTTERFLY,Butterfly Gandhimathi Appliances Limited
NSE/CGPOWER,CG Power and Industrial Solutions Limited
NSE/ENDURANCE,Endurance Technologies Limited
NSE/PINCON,Pincon Spirit Limited
NSE/TVSELECT,TVS Electronics Limited
NSE/TORNTPHARM,Torrent Pharmaceuticals Limited
NSE/JAINSTUDIO,Jain Studios Limited
NSE/INTEGRA,Integra Garments and Textiles Limited
NSE/SETFBANK,SBIAMC - SETFBANK
NSE/BILPOWER,Bilpower  Limited
NSE/DSSL,Dynacons Systems & Solutions Limited
NSE/ENTEGRA,Entegra Limited
NSE/EUROMULTI,Euro Multivision Limited
NSE/JAIHINDPRO,Jaihind Projects Limited
NSE/SHRIASTER,SHRI ASTER SILICATES LIMITED
NSE/QUINTEGRA,Quintegra Solutions Limited
NSE/RADAAN,Radaan Mediaworks India Limited
NSE/VISUINTL,Visu International Limited
NSE/OMNITECH,Omnitech Infosolutions Limited
NSE/SKSMICRO,SKS Microfinance Limited
NSE/ICNX100,ICICI Prudential Nifty 100 ETF
NSE/IMIDCAP,ICICIPRAMC - IMIDCAP
NSE/INIFTY,ICICI Prudential Nifty ETF
NSE/ISENSEX,ICICI Prudential Sensex ETF
NSE/ACROPETAL,Acropetal Technologies Limited
NSE/LICNFENGP,LICNAMC - LICNFENGP
NSE/NIFTY_MIDCAP_LIQUID_15,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap Liquid 15
NSE/ELDERPHARM,Elder Pharmaceuticals Limited
NSE/MURLIIND,Murli Industries Limited
NSE/BHARTISHIP,Bharati Shipyard Limited
NSE/BLUESTINFO,Blue Star Infotech Limited
NSE/UMESLTD,Usha Martin Education & Solutions Limited
NSE/LICNMFET,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO
NSE/TECHIN,TECHINDIA NIRMAN LIMITED
NSE/ERAINFRA,Era Infra Engineering Limited
NSE/ABCIL,Aditya Birla Chemicals (India) Limited
NSE/PFRL,Pantaloons Fashion & Retail Limited
NSE/WELSYNTEX,Welspun Syntex Limited
NSE/NIFTY_SMALL_100,National Stock Exchange of India (NSE) Stock Index - Nifty Small 100
NSE/LIX15_MIDCAP,National Stock Exchange of India (NSE) Stock Index - LIX15 Midcap
NSE/ESSAROIL,Essar Oil Limited
NSE/CNX_SMALLCAP,National Stock Exchange of India (NSE) Stock Index - CNX Smallcap
NSE/EVERONN,Everonn Education Limited
NSE/RELNIFTY,Reliance Mutual Fund - R* Shares Nifty ETF - Dividend Payout
NSE/CNX_MIDCAP,National Stock Exchange of India (NSE) Stock Index - CNX Midcap
NSE/ARROWCOAT,Arrow Coated Products Limited
NSE/NIFTY_MIDCAP_100,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 100
NSE/AGRODUTCH,Agro Dutch Industries Limited
NSE/FEL,FUTURE ENTERPRISES LIMITED
NSE/HUBTOWN,Hubtown Limited
NSE/JETAIRWAYS,Jet Airways (India) Limited
NSE/ORBITCORP,Orbit Corporation Limited
NSE/PFOCUS,Prime Focus Limited
NSE/RTNINFRA,RattanIndia Infrastructure Limited
NSE/KALINDEE,Kalindee Rail Nirman (Engineers) Limited
NSE/SHRENUJ,Shrenuj & Company Limited
NSE/CALSOFT,California Software Company Limited
NSE/CREATIVEYE,Creative Eye Limited
NSE/IGOLD,ICICI Prudential Gold ETF
NSE/PARAPRINT,Paramount Printpackaging Limited
NSE/SAMTEL,Samtel Color Limited
NSE/JCTEL,JCT Electronics Limited
NSE/RELBANK,R* Shares Banking ETF
NSE/ALSTOMTD,Alstom T&D India Limited
NSE/FCEL,Future Consumer Enterprise Limited
NSE/ANANDAMRUB,The Anandam Rubber Company Limited
NSE/BILENERGY,Bil Energy Systems Limited
NSE/MELSTAR,Melstar Information Technologies Limited
NSE/RELGOLD,R* Shares Gold ETF
NSE/AMBUJACEM,Ambuja Cements Limited
NSE/CORPBANK,Corporation Bank
NSE/DPL,Dhunseri Petrochem Limited
NSE/NETWORK18,Network18 Media & Investments Limited
NSE/RAJSREESUG,Rajshree Sugars & Chemicals Limited
NSE/SYMPHONY,Symphony Limited
NSE/WELSPUNIND,Welspun India Limited
NSE/CROMPGREAV,Crompton Greaves Limited
NSE/MICROSEC,Microsec Financial Services Limited
NSE/BHAGYNAGAR,Bhagyanagar India Limited
NSE/GVKPIL,GVK Power & Infrastructure Limited
NSE/IDEA,Idea Cellular Limited
NSE/ITDCEM,ITD Cementation India Limited
NSE/JINDALSTEL,Jindal Steel & Power Limited
NSE/KECL,Kirloskar Electric Company Limited
NSE/LOTUSEYE,Lotus Eye Care Hospital Limited
NSE/PRECAM,Precision Camshafts Limited
NSE/RAINBOWPAP,Rainbow Papers Limited
NSE/SATIN,Satin Creditcare Network Limited
NSE/SHREECEM,Shree Cements Limited
NSE/ESL,Electrosteel Steels Limited
NSE/APOLSINHOT,Apollo Sindoori Hotels Limited
NSE/BBL,Bharat Bijlee Limited
NSE/CROMPTON,Crompton Greaves Consumer Electricals Limited
NSE/EASTSILK,Eastern Silk Industries Limited
NSE/ICIL,Indo Count Industries Limited
NSE/DIGJAMLTD,Digjam Limited
NSE/IDFNIFTYET,IDFCAMC - IDFNIFTYET
NSE/DWARKESH,Dwarikesh Sugar Industries Limited
NSE/KAVVERITEL,Kavveri Telecom Products Limited
NSE/KKCL,Kewal Kiran Clothing Limited
NSE/NATCOPHARM,Natco Pharma Limited
NSE/EXCELINDUS,Excel Industries Limited
NSE/GISOLUTION,GI Engineering Solutions Limited
NSE/IPCALAB,IPCA Laboratories Limited
NSE/IVZINNIFTY,Invesco India Nifty Exchange Traded Fund
NSE/KEC,KEC International Limited
NSE/PREMIER,Premier Limited
NSE/SHANTIGEAR,Shanthi Gears Limited
NSE/KABRAEXTRU,Kabra Extrusion Technik Limited
NSE/KOTARISUG,Kothari Sugars And Chemicals Limited
NSE/MM,Mahindra & Mahindra Limited
NSE/ONWARDTEC,Onward Technologies Limited
NSE/SALONA,Salona Cotspin Limited
NSE/OMKARCHEM,Omkar Speciality Chemicals Limited
NSE/SASKEN,Sasken Technologies Limited
NSE/SHARDAMOTR,Sharda Motor Industries Limited
